iter	RMSE
0	0.1495707906
1	0.1471267943
2	0.1447171431
3	0.1423925791
4	0.1400936556
5	0.1378361782
6	0.1356372544
7	0.1334896037
8	0.1314316512
9	0.1293881
10	0.1273757923
11	0.125408466
12	0.1235004592
13	0.1216039113
14	0.1197609785
15	0.1179969923
16	0.1162522005
17	0.1145145941
18	0.1128520061
19	0.1111968589
20	0.1095929706
21	0.1080157928
22	0.1064553126
23	0.1049297199
24	0.1034639982
25	0.1020109038
26	0.1006216922
27	0.09923366768
28	0.09788793507
29	0.09659170066
30	0.095314985
31	0.09405035388
32	0.09285393863
33	0.09164775258
34	0.09047622099
35	0.08932116439
36	0.08821485583
37	0.08714490544
38	0.08607256174
39	0.08501312261
40	0.0839873893
41	0.08300461181
42	0.08200876781
43	0.08106309203
44	0.08014235984
45	0.07922238568
46	0.0783338441
47	0.07747314728
48	0.07661450971
49	0.0757974626
50	0.07498986836
51	0.07421261051
52	0.07344712931
53	0.07270343462
54	0.07197469014
55	0.07128191003
56	0.07058698905
57	0.06990993953
58	0.06926079682
59	0.06862632626
60	0.06800893989
61	0.06738360509
62	0.06678857069
63	0.06620619998
64	0.06562923726
65	0.06507795091
66	0.06453550257
67	0.06404014823
68	0.06352090851
69	0.06303108526
70	0.06254477719
71	0.06207288468
72	0.06160264669
73	0.06114978594
74	0.06071232572
75	0.0602847495
76	0.05987145515
77	0.05947266598
78	0.05908089999
79	0.05869861531
80	0.05832232441
81	0.05794786639
82	0.05757604804
83	0.05723523274
84	0.05690174719
85	0.05656342111
86	0.05621789301
87	0.05590123306
88	0.05560235547
89	0.05530940741
90	0.05501631114
91	0.05473537942
92	0.05446693419
93	0.05419755005
94	0.05394283583
95	0.05369264677
96	0.05342641896
97	0.05318498548
98	0.05291011321
99	0.05266524311
100	0.05241891854
101	0.05217624459
102	0.05197065796
103	0.05175926114
104	0.05155657165
105	0.05136186823
106	0.05117017545
107	0.05098300481
108	0.05078093098
109	0.05059994018
110	0.05043447317
111	0.05024598605
112	0.05005546145
113	0.0498906164
114	0.04972354974
115	0.04957349435
116	0.04942259361
117	0.04927605192
118	0.04910304812
119	0.04896723808
120	0.04883969489
121	0.04870237132
122	0.0485461441
123	0.04842230387
124	0.04828764779
125	0.04815937743
126	0.0480301535
127	0.04791348477
128	0.04780495946
129	0.04770152616
130	0.04757671847
131	0.0474693626
132	0.04736486117
133	0.04726666579
134	0.04716615904
135	0.04707141412
136	0.04698270181
137	0.04689599412
138	0.04680056957
139	0.04671560253
140	0.04663621351
141	0.04653500369
142	0.04644721518
143	0.04637062061
144	0.04628927195
145	0.04620876251
146	0.04612572031
147	0.04603017768
148	0.04594595735
149	0.04586785091
150	0.04579403676
151	0.0457031418
152	0.04564028383
153	0.04556801898
154	0.04550171262
155	0.04543372613
156	0.04537647421
157	0.04531549636
158	0.04526213171
159	0.04520526002
160	0.04514757579
161	0.04509955986
162	0.04504387109
163	0.04497840689
164	0.0449066836
165	0.04485661829
166	0.04478242777
167	0.0447388011
168	0.04469057071
169	0.04463755078
170	0.04458123905
171	0.04451284153
172	0.0444689245
173	0.04441326308
174	0.04436090993
175	0.04431883738
176	0.04427772637
177	0.04422956472
178	0.04416390641
179	0.04412854444
180	0.0440884446
181	0.04405139969
182	0.04401541409
183	0.04396488851
184	0.04392473076
185	0.0438903436
186	0.04383926069
187	0.04379590318
188	0.04375638353
189	0.04371628422
190	0.04367123986
191	0.04363494422
192	0.04358932004
193	0.04354338401
194	0.04351198273
195	0.04348688593
196	0.04345352798
197	0.04342155774
198	0.0433787893
199	0.04333592739
200	0.04330034471
201	0.04324468347
202	0.04320272991
203	0.04315475379
204	0.04311498105
205	0.04306414589
206	0.043016172
207	0.04297901289
208	0.04294591015
209	0.04291558958
210	0.04287702023
211	0.04285371485
212	0.04282562333
213	0.04278234912
214	0.04275469855
215	0.04271910337
216	0.042692109
217	0.04264767285
218	0.04262321634
219	0.04259537601
220	0.042560183
221	0.04251089297
222	0.04247885214
223	0.04244039115
224	0.04240431192
225	0.04237649006
226	0.04235072229
227	0.04233069644
228	0.0422904518
229	0.0422677899
230	0.04224201503
231	0.04221350043
232	0.04218326657
233	0.04216784628
234	0.04213389281
235	0.0421068221
236	0.04207524788
237	0.04205272869
238	0.04203068779
239	0.04200931109
240	0.04198910757
241	0.04194965425
242	0.0419317264
243	0.04191110124
244	0.04189196597
245	0.0418722282
246	0.04184834461
247	0.0418312644
248	0.0418112257
249	0.04175955149
250	0.04174198781
251	0.04171575751
252	0.04167855551
253	0.04164103972
254	0.04161732802
255	0.04159517997
256	0.04156981424
257	0.04154795234
258	0.04152927322
259	0.04149873329
260	0.04146722195
261	0.04144066816
262	0.04141321546
263	0.04139164924
264	0.04137492567
265	0.04134424275
266	0.04132949939
267	0.04131389729
268	0.04129983251
269	0.04127386809
270	0.04125822345
271	0.04122855235
272	0.0412195656
273	0.04118613218
274	0.04115874201
275	0.04114223781
276	0.04112414557
277	0.04111082595
278	0.04109524354
279	0.04107295466
280	0.04105688944
281	0.04104300367
282	0.04101918936
283	0.04098682863
284	0.04095383858
285	0.04093568514
286	0.04092005391
287	0.04088271783
288	0.04086319693
289	0.04085006171
290	0.04082785501
291	0.04080684373
292	0.04077116462
293	0.04074777987
294	0.04072651253
295	0.04070257159
296	0.04068208452
297	0.04065770754
298	0.04064493754
299	0.04063008542
300	0.04059795545
301	0.04057745136
302	0.04055931061
303	0.04054524664
304	0.04051912809
305	0.04050398566
306	0.04048527732
307	0.04047142198
308	0.04045441238
309	0.04043234167
310	0.04041578365
311	0.04038726178
312	0.04036856465
313	0.04034588735
314	0.04032082957
315	0.04028332802
316	0.04026262107
317	0.04024553542
318	0.04023391654
319	0.04021223304
320	0.04019404344
321	0.04017859555
322	0.04015226286
323	0.040131618
324	0.04011371955
325	0.04009472176
326	0.04007748715
327	0.04006466064
328	0.04004341673
329	0.04002460411
330	0.04001094596
331	0.0399928713
332	0.03997183201
333	0.03995310599
334	0.03992787485
335	0.03991294424
336	0.03989452434
337	0.03988537999
338	0.03986377409
339	0.03983870308
340	0.0398089804
341	0.03979558832
342	0.03978369366
343	0.03975095633
344	0.03973048715
345	0.03971593428
346	0.03970517431
347	0.03969303561
348	0.03967537866
349	0.03966216991
350	0.03964338775
351	0.03963151321
352	0.03961053349
353	0.03959961217
354	0.03958734224
355	0.03957176639
356	0.03956305209
357	0.03954280943
358	0.03953254551
359	0.03950997437
360	0.03948202525
361	0.03946521554
362	0.0394539474
363	0.03944696538
364	0.03943370008
365	0.03940702714
366	0.03938939042
367	0.0393796834
368	0.03936201793
369	0.03934160385
370	0.03932624398
371	0.03930154235
372	0.03928487292
373	0.03926818032
374	0.03925775775
375	0.03924768876
376	0.03922752533
377	0.03921249563
378	0.03920100471
379	0.03918853765
380	0.03916352911
381	0.03914423639
