road,corridor,service,identifier,title,subtitle,display_type,coord_lat,coord_lon,in_target_bbox,start_iso,end_iso,start_text_parsed,end_text_parsed,description,is_2_plus_0,config_type,n_closed_lanes,raw_symbols,ext_from_lat,ext_from_lon,ext_to_lat,ext_to_lon
A8,A8_Ost,roadworks,2025-060228--vi-fbm.2026-06-15_08-00-00-000.devi-zus.2026-06-01_00-00-00-000_008.de3,A8 | Bundesgrenze - Weiler, Luxemburg -> Saarlouis,SHORT_TERM_ROADWORKS,49.47987760703651,6.369250133423089,False,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: Jeden Montag, Dienstag, Mittwoch, Donnerstag und Freitag zwischen dem 15.06.26 und dem 26.06.26 von 08:00 bis 16:00 Uhr.  A8: Luxemburg -> Saarlouis, zwischen 0.1 km hinter Bundesgrenze und 3.6 km vor Weiler  Länge: 13.54 km | Max. 80 km/h | Maximale Durchfahrtsbreite: 5.75 m  A008 Ern. AS Mzg.-Wellingen-AS Perl RF SB 77,8 - KM 90,7",True,2+0_bidirectional,2,BREAKDOWN_LANE|BORDER_LEFT|ARROW_DOWN|CLOSED|SEPARATE|CLOSED|ARROW_UP|BORDER_RIGHT|BREAKDOWN_LANE,49.47987760703651,6.369250133423089,49.452203699565715,6.519415301659253
A8,A8_Ost,roadworks,2025-030722--vi-bs.2025-07-28_08-30-00-000.devi-bs.2025-06-30_00-00-00-000_002.de3,A8 | Bundesgrenze - Moseltal, Luxemburg -> Saarlouis,ROADWORKS,49.47932871273438,6.368012067178018,False,2025-07-28T08:30:00+02:00,,2025-07-28,2027-08-01,"Zeitraum dieser Bauphase: Beginn: 28.07.25 um 08:30 Uhr Ende: 01.08.27 um 00:00 Uhr (Ende der Gesamtmaßnahme: 01.08.27)  A8: Luxemburg -> Saarlouis, zwischen Bundesgrenze und 0.3 km vor Moseltal  Länge: 0.38 km | Maximale Durchfahrtsbreite: 3.5 m  A8 Brückeninstandsetzung",False,complex,2,SEPARATE|ARROW_UP|CLOSED|BORDER_RIGHT|CLOSED,49.47932871273438,6.368012067178018,49.481574885427094,6.371934075545792
A8,A8_Ost,roadworks,2026-027577--vi-bs.2026-06-28_11-30-00-000.devi-bs.2026-06-28_08-00-00-000.de7,A8 | Wallerfangen - Saarlouis, Saarbrücken -> Saarlouis,SHORT_TERM_ROADWORKS,49.32862123271528,6.731117299501033,False,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: 28.06.26 von 11:30 bis 12:30 Uhr  A620: Saarbrücken -> Saarlouis, zwischen 1.0 km hinter AS Wallerfangen und 0.6 km vor AD Saarlouis  Länge: 0.01 km | Maximale Durchfahrtsbreite: 3.25 m  A620 von Wallerfangen (AS) Brückenwartung",False,complex,1,SEPARATE|CLOSED|ARROW_UP|BORDER_RIGHT|BREAKDOWN_LANE,49.32862123271528,6.731117299501033,49.3286932864716,6.731061047580311
A8,A8_Ost,roadworks,2026-027577--vi-bs.2026-06-28_09-00-00-000.devi-bs.2026-06-28_08-00-00-000.de3,A8 | Wallerfangen - Saarlouis, Saarbrücken -> Saarlouis,SHORT_TERM_ROADWORKS,49.32861322674049,6.731123549704141,False,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: 28.06.26 von 09:00 bis 10:00 Uhr  A620: Saarbrücken -> Saarlouis, zwischen 1.0 km hinter AS Wallerfangen und 0.6 km vor AD Saarlouis  Länge: 0.01 km | Maximale Durchfahrtsbreite: 3.25 m  A620 von Wallerfangen (AS) Brückenwartung",False,complex,1,SEPARATE|ARROW_UP|CLOSED|BORDER_RIGHT|BREAKDOWN_LANE,49.32861322674049,6.731123549704141,49.328709298413294,6.731048547130802
A8,A8_Ost,roadworks,2025-030722--vi-bs.2025-07-28_08-30-00-000.devi-bs.2025-06-30_00-00-00-000_002.de1,A8 | Perl-Borg - Bundesgrenze, Saarlouis -> Luxemburg,ROADWORKS,49.486863049121744,6.378268825981015,False,2025-07-28T08:30:00+02:00,,2025-07-28,2027-08-01,"Zeitraum dieser Bauphase: Beginn: 28.07.25 um 08:30 Uhr Ende: 01.08.27 um 00:00 Uhr (Ende der Gesamtmaßnahme: 01.08.27)  A8: Saarlouis -> Luxemburg, zwischen 3.3 km hinter AS Perl-Borg und Bundesgrenze  Länge: 1.13 km | Maximale Durchfahrtsbreite: 3.5 m  A8 Brückeninstandsetzung",False,complex,2,SEPARATE|ARROW_UP|CLOSED|BORDER_RIGHT|CLOSED,49.486863049121744,6.378268825981015,49.47943117154812,6.367966090826275
A8,A8_Ost,roadworks,2025-060228--vi-fbm.2026-06-15_08-00-00-000.devi-zus.2026-06-01_00-00-00-000_008.de1,A8 | Weiler - Bundesgrenze, Saarlouis -> Luxemburg,SHORT_TERM_ROADWORKS,49.45230914793094,6.519346133475216,False,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: Jeden Montag, Dienstag, Mittwoch, Donnerstag und Freitag zwischen dem 15.06.26 und dem 26.06.26 von 08:00 bis 16:00 Uhr.  A8: Saarlouis -> Luxemburg, zwischen 3.6 km hinter Weiler und 0.1 km vor Bundesgrenze  Länge: 13.54 km | Max. 80 km/h | Maximale Durchfahrtsbreite: 5.75 m  A008 Ern. AS Mzg.-Wellingen-AS Perl RF SB 77,8 - KM 90,7",True,2+0_bidirectional,2,BREAKDOWN_LANE|BORDER_LEFT|ARROW_DOWN|CLOSED|SEPARATE|CLOSED|ARROW_UP|BORDER_RIGHT|BREAKDOWN_LANE,49.45230914793094,6.519346133475216,49.47995668816723,6.369162191698044
A8,A8_Ost,roadworks,2023-001099--vi-bs.2026-06-08_08-30-00-000.devi-zus.2024-09-17_09-00-00-000.de197,A8 | Saarbrücken - Friedrichsthal-Bildstock, Saarlouis -> Neunkirchen,SHORT_TERM_ROADWORKS,49.34374958712686,7.0482514279646304,False,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: 23.06.26 von 09:30 bis 15:00 Uhr 24.06.26 von 09:30 bis 15:00 Uhr  A8: Saarlouis -> Neunkirchen, zwischen 2.5 km hinter AK Saarbrücken und 1.2 km vor AS Friedrichsthal-Bildstock  Länge: 1.31 km | Maximale Durchfahrtsbreite: 3.25 m  A8 Schallschutzarbeiten",False,complex,1,SEPARATE|ARROW_UP|CLOSED|BORDER_RIGHT|BREAKDOWN_LANE,49.34374958712686,7.0482514279646304,49.3367337180132,7.062315939653502
A8,A8_Ost,roadworks,2023-001099--vi-bs.2026-06-08_08-30-00-000.devi-zus.2024-09-17_09-00-00-000.de195,A8 | Saarbrücken - Friedrichsthal-Bildstock, Saarlouis -> Neunkirchen,SHORT_TERM_ROADWORKS,49.34374958712686,7.0482514279646304,False,,,,,"Die Baustelle ist zu folgenden Zeiträumen gültig: 23.06.26 von 09:30 bis 15:00 Uhr 24.06.26 von 09:30 bis 15:00 Uhr  A8: Saarlouis -> Neunkirchen, zwischen 2.5 km hinter AK Saarbrücken und 1.2 km vor AS Friedrichsthal-Bildstock  Länge: 1.31 km | Maximale Durchfahrtsbreite: 3.25 m  A8 Schallschutzarbeiten",False,complex,1,SEPARATE|CLOSED|ARROW_UP|BORDER_RIGHT|BREAKDOWN_LANE,49.34374958712686,7.0482514279646304,49.3367337180132,7.062315939653502
A8,A8_Ost,roadworks,2023-001099--vi-bs.2025-11-14_06-00-00-000.devi-zus.2024-09-17_09-00-00-000.de158,A8 | Saarbrücken - Friedrichsthal-Bildstock, Saarlouis -> Neunkirchen,ROADWORKS,49.34321655539114,7.048859080114184,False,2025-11-14T06:00:00+01:00,,2025-11-14,2026-08-31,"Zeitraum dieser Bauphase: Beginn: 14.11.25 um 06:00 Uhr Ende: 31.08.26 um 12:00 Uhr (Ende der Gesamtmaßnahme: 28.02.27)  A8: Saarlouis -> Neunkirchen, zwischen 2.6 km hinter AK Saarbrücken und 1.7 km vor AS Friedrichsthal-Bildstock  Länge: 0.69 km | Maximale Durchfahrtsbreite: 6.25 m  A8 Schallschutzarbeiten",False,complex,0,SEPARATE|ARROW_UP|ARROW_UP|BORDER_RIGHT|BREAKDOWN_LANE,49.34321655539114,7.048859080114184,49.338747745885456,7.05545257887074
A8,A8_Ost,roadworks,2023-001099--vi-bs.2025-11-14_06-00-00-000.devi-zus.2024-09-17_09-00-00-000.de156,A8 | Merchweiler - Friedrichsthal-Bildstock, Saarlouis -> Neunkirchen,ROADWORKS,49.338757889891326,7.055427041895462,False,2025-11-14T06:00:00+01:00,,2025-11-14,2026-08-31,"Zeitraum dieser Bauphase: Beginn: 14.11.25 um 06:00 Uhr Ende: 31.08.26 um 12:00 Uhr (Ende der Gesamtmaßnahme: 28.02.27)  A8: Saarlouis -> Neunkirchen, zwischen 0.4 km hinter AS Merchweiler und 0.3 km vor AS Friedrichsthal-Bildstock  Länge: 1.46 km | Maximale Durchfahrtsbreite: 3.75 m  A8 Schallschutzarbeiten",True,2+0_bidirectional,2,ARROW_DOWN|BORDER_LEFT|ARROW_DOWN|SEPARATE|ARROW_UP|SEPARATE|ARROW_UP|CLOSED|BORDER_RIGHT|CLOSED,49.338757889891326,7.055427041895462,49.33122804499315,7.071261873471719
