region_code,region_name,country_code,country_name,dataset_type,oldest_available_start_date,latest_available_start_date,target_first_record_start,target_last_record_start,target_last_record_end,target_record_count,api_record_count,calculated_record_count,coverage_status,has_any_record_overlap_2023,has_any_record_overlap_2024,has_any_record_overlap_2025,has_any_record_overlap_2026,has_any_record_overlap_2027,has_any_record_overlap_2028,has_any_record_overlap_2029,retrieved_at
AT-SB,Salzburg,AT,Austria,public,2020-01-01,2030-12-26,2023-01-01,2029-12-26,2029-12-26,91,91,0,api,true,true,true,true,true,true,true,2026-06-19T20:09:42+00:00
AT-SB,Salzburg,AT,Austria,school,2016-12-24,2028-12-24,2022-12-24,2029-12-24,2030-01-06,56,48,8,mixed_api_and_statutory_calculation,true,true,true,true,true,true,true,2026-06-19T20:09:42+00:00
AT-TI,Tyrol,AT,Austria,public,2020-01-01,2030-12-26,2023-01-01,2029-12-26,2029-12-26,91,91,0,api,true,true,true,true,true,true,true,2026-06-19T20:09:42+00:00
AT-TI,Tyrol,AT,Austria,school,2016-12-24,2028-12-24,2022-12-24,2029-12-24,2030-01-06,58,50,8,mixed_api_and_statutory_calculation,true,true,true,true,true,true,true,2026-06-19T20:09:42+00:00
DE-BY,Bavaria,DE,Germany,public,2020-01-01,2030-12-26,2023-01-01,2029-12-26,2029-12-26,91,91,0,api,true,true,true,true,true,true,true,2026-06-19T20:09:42+00:00
DE-BY,Bavaria,DE,Germany,school,2011-12-27,2030-11-20,2022-12-24,2029-12-24,2030-01-04,50,50,0,api,true,true,true,true,true,true,true,2026-06-19T20:09:42+00:00
